Corrected_Term,NLD,Original_Label
Bacia de Campos,"The Campos Basin is a sedimentary basin that is located offshore southeastern Brazil, along the continental margin, and constitutes a prolific petroleum province characterized by significant oil and gas production from both post-salt siliciclastic and pre-salt carbonate reservoirs.",BACIA
Hauterivian,"Hauterivian is a chronostratigraphic unit that represents a stage within the Early Cretaceous epoch, spanning the interval of geological time following the Valanginian Stage and preceding the Barremian Stage.",UNIDADE_CRONO
stones,"Stones are fragments of rock that are naturally occurring, typically ranging in size from pebbles to cobbles, and are formed through the breakdown of larger rock masses by geological processes such as weathering and erosion.",ROCHA
ostracods,"Ostracods are a group of microfossils that represent small, bivalved crustaceans, characterized by a calcified carapace that completely encloses the body and is commonly preserved in sedimentary rocks. They are valuable for biostratigraphy and paleoenvironmental reconstruction in various aquatic settings, including the lacustrine and marine-influenced environments of the Brazilian Pre-Salt.",FOSSEIS
basalts,"Basalts are mafic volcanic rocks that are typically fine-grained and dark-colored, forming from the rapid cooling of lava at or near the Earth's surface, often associated with extensional tectonic settings and continental rifting.",ROCHA
siltstones,"Siltstones are a type of clastic sedimentary rock that is predominantly composed of silt-sized particles, typically ranging from 0.0039 to 0.0625 mm in diameter. These particles are commonly quartz, feldspar, and clay minerals, formed by the lithification of silt.",ROCHA
Holocene,"The Holocene is a geological epoch that represents the current and most recent division of the Quaternary Period, extending from approximately 11,700 years ago to the present day.",UNIDADE_CRONO
framestones,"Framestones are a type of boundstone that is characterized by a rigid framework built by in-situ organisms, which act as primary framework builders.",ROCHA
alagoas,"Alagoas is a chronostratigraphic stage that represents a specific interval of the Early Cretaceous, characterized by the deposition of syn-rift sequences in the Brazilian marginal basins, including the Pre-Salt succession.",UNIDADE_CRONO
limestones,"Limestones are sedimentary rocks that are primarily composed of calcium carbonate (CaCO3), typically in the form of the mineral calcite, and often contain skeletal fragments of marine organisms or other biogenic components.",ROCHA
3-brsa-1345-rjs,"3-brsa-1345-rjs is a well that is uniquely identified by the Brazilian ANP (Agência Nacional do Petróleo, Gás Natural e Biocombustíveis) standard, drilled by Petrobras in the offshore Rio de Janeiro State, and designated as the 1345th well in its sequence within the basin.",POÇO
anhydrite,"Anhydrite is an evaporitic rock that is primarily composed of the mineral calcium sulfate (CaSO4), typically forming in restricted marine or lacustrine environments, and commonly occurring as interbeds, nodules, or cements within Pre-Salt carbonate successions, where it can act as a seal or impact reservoir quality.",ROCHA
Aptian,"Aptian is a chronostratigraphic unit that encompasses the rock succession deposited during the Aptian Age, representing a subdivision of the Lower Cretaceous Series.",UNIDADE_CRONO
packstone,"A packstone is a carbonate rock that is characterized by a grain-supported texture, where the grains are in contact, and the rock contains more than 10% micrite (mud matrix).",ROCHA
lakes,"A lake is a paleoenvironment that represents an ancient, relatively large, standing body of water, typically freshwater or brackish, enclosed by land, that is characterized by lacustrine sedimentation, including microbialites and other carbonate precipitates, within a continental setting.",PALEOAMBIENTE
phanerozoic,"The Phanerozoic is a geological eon that represents the current and most recent interval of Earth's history, spanning from approximately 541 million years ago to the present. It is characterized by the widespread appearance and diversification of complex, multicellular life forms, particularly those with hard parts, which are abundantly preserved in the fossil record.",UNIDADE_CRONO
Cretaceous,"The Cretaceous is a geological period and chronostratigraphic system that spans from approximately 145 to 66 million years ago, marking the final period of the Mesozoic Era. It is characterized by the deposition of significant carbonate successions, including those forming the prolific Pre-Salt reservoirs in the South Atlantic.",UNIDADE_CRONO
coquinas,"A coquina is a type of bioclastic sedimentary rock that is predominantly composed of whole or fragmented shells of bivalve mollusks, often with a minor matrix. In the Brazilian Pre-Salt, these rocks are typically lacustrine in origin and constitute significant carbonate reservoirs.",ROCHA
barite,"Barite is a mineral that is composed of barium sulfate (BaSO4) and is characterized by its high specific gravity, typically around 4.5.",MINERAIS
Eocene,"The Eocene is a geological epoch that represents the second epoch of the Paleogene Period within the Cenozoic Era, spanning from approximately 56 to 33.9 million years ago, and is characterized by a warm global climate and the significant diversification of modern mammalian orders.",UNIDADE_CRONO
3-brsa-1172-rjs,"3-brsa-1172-rjs is a well that is uniquely identified by the ANP code 3-BRSA-1172-RJS, drilled by Petrobras in the Santos Basin offshore Brazil for hydrocarbon exploration and production, often targeting Pre-Salt carbonate reservoirs.",POÇO
Jurassic,"The Jurassic Period is a geological period that spans from approximately 201.3 to 145 million years ago. It is the middle period of the Mesozoic Era, following the Triassic and preceding the Cretaceous, and is characterized by the dominance of dinosaurs and the initial rifting of the supercontinent Pangea.",UNIDADE_CRONO
rudstone,A rudstone is a carbonate rock that is characterized by having more than 10% of its volume composed of grains larger than 2 mm (rudaceous grains) and exhibiting a grain-supported fabric.,ROCHA
silt,"Silt is a clastic sediment particle that is characterized by a grain size finer than sand and coarser than clay, typically ranging from 1/256 mm to 1/16 mm (4 to 8 phi) on the Wentworth scale.",NAO_CONSOLID
faults,"Faults are geological structures that are brittle fractures in rock along which there has been significant relative displacement of the rock masses on opposing sides. They are fundamental controls on fluid migration, trap formation, and reservoir compartmentalization within sedimentary basins.",ESTRUTURA_FISICA
Albian,"Albian is a chronostratigraphic stage that represents the youngest interval of the Early Cretaceous epoch, spanning the time between the Aptian and Cenomanian stages.",UNIDADE_CRONO
Pleistocene,"The Pleistocene is a geological epoch that represents the first and longer of the two epochs of the Quaternary Period, spanning from approximately 2.58 million years ago to 11,700 years ago, and is characterized by significant global climatic fluctuations, including repeated glacial and interglacial cycles.",UNIDADE_CRONO
vugular,"Vugular porosity is a type of secondary pore structure that is characterized by the presence of vugs, which are open, irregular cavities typically larger than interparticle pores and often formed by dissolution.",ESTRUTURA_FISICA
micrite,"Micrite is a microcrystalline carbonate component that consists predominantly of calcite crystals less than 4 micrometers in diameter, forming the fine-grained matrix of limestones and often originating from the breakdown of skeletal material, direct precipitation, or microbial activity.",MINERAIS
Neocomian,"Neocomian is a chronostratigraphic unit that represents the earliest part of the Early Cretaceous epoch. It encompasses the Berriasian, Valanginian, and Hauterivian stages, spanning from approximately 145 to 133 million years ago.",UNIDADE_CRONO
halite,"Halite is an evaporite rock that is primarily composed of the mineral sodium chloride (NaCl), typically forming extensive bedded deposits.",ROCHA
faulting,Faulting is a geological structure that is a brittle fracture or zone of fractures in rock along which there has been significant relative displacement of the rock masses on either side. It results from brittle deformation and can compartmentalize reservoirs or provide pathways for fluid migration.,ESTRUTURA_FISICA
Aptian,"Aptian is a chronostratigraphic unit that encompasses the rock succession deposited during the Aptian Age, representing a subdivision of the Lower Cretaceous Series.",UNIDADE_CRONO
Barra Velha,"The Barra Velha Formation is a lithostratigraphic unit that consists predominantly of lacustrine microbial carbonates, including stromatolites, thrombolites, and oncolites, deposited during the rift-to-sag transition phase of the South Atlantic opening.",UNIDADE_LITO
lamination,"Lamination is a primary sedimentary structure that consists of thin, parallel layers, typically less than 1 cm thick, which are distinguished by variations in grain size, composition, or fabric.",ESTRUTURA_FISICA
shrubstone,"Shrubstone is a microbialite rock that is characterized by a branching, shrub-like growth morphology, formed by the in-situ precipitation of carbonate minerals mediated by microbial communities.",ROCHA
santos basin,"The Santos Basin is a large offshore sedimentary basin that is located along the southeastern Brazilian continental margin, known for its significant hydrocarbon accumulations, particularly the prolific Pre-Salt carbonate reservoirs formed during the rifting and opening of the South Atlantic.",BACIA
Parana,"The Paraná Basin is a large intracratonic sedimentary basin that is located in the central-eastern part of South America, primarily within Brazil, Paraguay, Uruguay, and Argentina. It is characterized by a thick succession of Paleozoic to Mesozoic sedimentary and volcanic rocks. This basin is well-known for its extensive basaltic lava flows of the Serra Geral Formation and significant coal deposits.",BACIA
limestones,"Limestones are sedimentary rocks that are predominantly composed of calcium carbonate (CaCO3), primarily formed from the accumulation of biogenic remains or by chemical precipitation.",ROCHA
Campos,"The Campos Basin is a sedimentary basin that is located offshore the southeastern Brazilian continental margin, representing one of Brazil's most prolific petroleum provinces. It is characterized by significant oil and gas accumulations in both Pre-Salt carbonate and Post-Salt siliciclastic reservoirs, formed during the Mesozoic rifting and opening of the South Atlantic.",BACIA
grainstone,"A grainstone is a carbonate rock that is characterized by being grain-supported, containing less than 10% mud matrix, and typically having its intergranular pores filled by sparry calcite cement.",ROCHA
ostracods,Ostracods are fossil microcrustaceans that are characterized by a bivalved carapace and are widely used as biostratigraphic and paleoenvironmental indicators in sedimentary successions.,FOSSEIS
calcimudstones,"A calcimudstone is a carbonate rock that is mud-supported, containing less than 10% allochems, and primarily composed of micrite.",ROCHA
galena,"Galena is a mineral that is a lead sulfide (PbS) with an isometric crystal system. It typically exhibits a metallic luster, lead-gray color, and perfect cubic cleavage. Galena is the principal ore of lead and is commonly found in hydrothermal veins and sedimentary deposits.",MINERAIS
Paleozoic,"The Paleozoic is a geological era that spans from approximately 541 to 252.2 million years ago, following the Neoproterozoic and preceding the Mesozoic. It is characterized by the rapid diversification of marine life, the colonization of land by plants and animals, and the assembly of the supercontinent Pangea.",UNIDADE_CRONO
siltites,"A siltite is a sedimentary rock that is primarily composed of silt-sized clastic particles, typically ranging from 0.004 to 0.0625 mm in diameter, and is intermediate in grain size between sandstone and mudstone.",ROCHA
sergipe-alagoas,"The Sergipe-Alagoas Basin is a sedimentary basin that is located along the northeastern coast of Brazil, formed during the Mesozoic rifting of Gondwana, and is a prolific petroleum province known for its marine siliciclastic and carbonate reservoirs.",BACIA
micrite,"Micrite is a microcrystalline carbonate component that consists predominantly of calcite crystals less than 4 micrometers in diameter, forming the fine-grained matrix of limestones and often originating from the breakdown of skeletal material, direct precipitation, or microbial activity.",MINERAIS
colluvial,"A colluvial paleoenvironment is a terrestrial depositional setting that is characterized by the accumulation of unconsolidated, poorly sorted, and angular sediments at the base of slopes, primarily transported by gravity-driven processes such as creep, solifluction, and sheetwash.",PALEOAMBIENTE
Devonian,"The Devonian is a geological period and chronostratigraphic system that spans from approximately 419.2 to 358.9 million years ago. It is the fourth period of the Paleozoic Era, succeeding the Silurian and preceding the Carboniferous. This interval is characterized by the significant diversification of fish, earning it the moniker ""Age of Fish,"" and the initial widespread colonization of land by plants and arthropods.",UNIDADE_CRONO
Holkerian,Holkerian is a chronostratigraphic stage that represents a subdivision of the Visean Stage within the Mississippian Subperiod of the Carboniferous Period.,UNIDADE_CRONO
Valanginian,"Valanginian is a chronostratigraphic unit that represents a subdivision of the Early Cretaceous Series, spanning from approximately 139.8 to 132.9 million years ago.",UNIDADE_CRONO
mudstone,A mudstone is a sedimentary rock that is composed predominantly of mud-sized particles (silt and clay) and lacks fissility.,ROCHA
silt,"Silt is a clastic sediment particle that has a grain size finer than sand and coarser than clay. It typically ranges from 1/256 mm to 1/16 mm (4 to 8 phi) on the Wentworth scale, and is found as unconsolidated grains.",NAO_CONSOLID
Cenozoic,The Cenozoic is a geological era that spans from approximately 66 million years ago to the present day. It is characterized by the diversification of mammals and the formation of modern continental configurations.,UNIDADE_CRONO
bivalves,Bivalves are a type of fossilized mollusk that represents the preserved remains or traces of an aquatic invertebrate characterized by a body enclosed within two hinged shells (valves).,FOSSEIS
quaternary,"The Quaternary is a geological period that represents the most recent interval of Earth's history, spanning from 2.58 million years ago to the present day. It is characterized by significant glacial-interglacial cycles, sea-level fluctuations, and the evolution and widespread dispersal of modern humans.",UNIDADE_CRONO
silica,"Silica is a mineral that is composed of silicon dioxide (SiO2), occurring in various crystalline and amorphous forms, such as quartz, chalcedony, and opal.",MINERAIS
faulting,Faulting is a geological structure that consists of a brittle fracture or a zone of fractures in rock along which there has been observable relative displacement of the rock masses on opposite sides.,ESTRUTURA_FISICA
deltas,"Deltas are paleoenvironments that represent depositional systems formed at the mouth of a river where it discharges clastic sediments into a standing body of water, characterized by the progradation of sedimentary facies. They typically comprise delta plain, delta front, and prodelta sub-environments, reflecting varying energy regimes and sediment accumulation rates.",PALEOAMBIENTE
3-brsa-1032-rjs,"3-BRSA-1032-RJS is a well that is a specific borehole officially designated by the Brazilian National Agency of Petroleum, Natural Gas and Biofuels (ANP) and drilled by Petrobras in the offshore Rio de Janeiro area of Brazil.",POÇO
mounds,"A mound is a carbonate buildup that forms a positive topographic relief on the seafloor, primarily composed of microbialites or other biogenic components, and often constitutes a significant reservoir facies in the Pre-Salt.",ESTRUTURA_FISICA
Pelotas Basin,"The Pelotas Basin is a sedimentary basin that is located offshore southern Brazil and Uruguay, formed during the Mesozoic breakup of Gondwana, and characterized by a thick rift-drift sedimentary package with potential for hydrocarbon accumulation.",BACIA
mollusks,"Mollusks are a diverse phylum of invertebrate animals that are characterized by a soft, unsegmented body, typically enclosed in a calcareous shell, and whose fossilized remains are common in marine and freshwater sedimentary rocks, including the carbonate reservoirs of the Brazilian Pre-Salt.",FOSSEIS
Cambrian,"The Cambrian is a geological period that represents the first period of the Paleozoic Era, spanning from approximately 541 to 485.4 million years ago. It is characterized by the ""Cambrian Explosion,"" a rapid diversification of most major animal phyla.",UNIDADE_CRONO
basalts,"Basalts are mafic volcanic rocks that are typically fine-grained and dark-colored, forming from the rapid cooling of lava at or near the Earth's surface, often associated with extensional tectonic settings and continental rifting.",ROCHA
vugular,"Vugular is a type of physical structure within a rock that is characterized by the presence of vugs, which are discrete, equant to irregular, commonly oversized pores formed by dissolution, often larger than interparticle pores. This pore type significantly contributes to reservoir storage capacity, particularly in carbonate systems like the Brazilian Pre-Salt.",ESTRUTURA_FISICA
claystones,"Claystones are a sedimentary rock that is primarily composed of clay minerals and fine-grained detrital particles, typically lacking the fissility characteristic of shales.",ROCHA
claystones,"Claystones are a sedimentary rock that is primarily composed of clay minerals and fine-grained detrital particles, typically lacking the fissility characteristic of shales.",ROCHA
Campos Basin,"The Campos Basin is a sedimentary basin that is located offshore southeastern Brazil and is a major petroleum province, characterized by significant Pre-Salt and Post-Salt hydrocarbon accumulations.",BACIA
anhydrite,"Anhydrite is an evaporite rock that is primarily composed of the mineral anhydrite (CaSO4). It forms through the precipitation of calcium sulfate from evaporating seawater or hypersaline brines, commonly occurring in evaporite sequences and as a diagenetic product.",ROCHA
lamination,"Lamination is a primary sedimentary structure that consists of thin, parallel or sub-parallel layers, typically less than 1 cm thick, formed by variations in sediment composition, grain size, or fabric.",ESTRUTURA_FISICA
arenites,Arenites are clastic sedimentary rocks that are characterized by a grain size predominantly within the sand range (0.0625 to 2 mm).,ROCHA
muscovite,"Muscovite is a phyllosilicate mineral that belongs to the mica group, characterized by its perfect basal cleavage and flexible, elastic sheets. It is a potassium aluminum silicate hydroxide (KAl₂(AlSi₃O₁₀)(OH)₂) commonly found in igneous, metamorphic, and detrital sedimentary rocks.",MINERAIS
grain,"A grain is a discrete particle that constitutes the fundamental building block of a rock, typically comprising mineral crystals, rock fragments, or biogenic components.",ROCHA
Carboniferous,"The Carboniferous is a chronostratigraphic unit that spans from approximately 358.9 to 298.9 million years ago, following the Devonian and preceding the Permian periods, and is globally recognized for its extensive coal swamp formation and the diversification of terrestrial vertebrates and plants.",UNIDADE_CRONO
carbonate mounds,"A carbonate mound is a type of rock accumulation that is primarily composed of carbonate minerals, often formed by microbial activity (e.g., stromatolites, thrombolites) and early diagenetic cementation. It typically lacks a rigid framework and exhibits a mounded to columnar geometry, commonly found in lacustrine environments such as the Brazilian Pre-Salt.",ROCHA
floatstone,"A floatstone is a carbonate rock that is characterized by having more than 10% of its volume composed of grains larger than 2 mm, which are supported by a finer-grained matrix and do not touch each other.",ROCHA
siliciclastics,"A siliciclastic rock is a type of sedimentary rock that is primarily composed of silicate minerals derived from the physical weathering and erosion of pre-existing rocks, which are then transported, deposited, and lithified.",ROCHA
Albian,"Albian is a chronostratigraphic stage that constitutes the youngest subdivision of the Lower Cretaceous Series, spanning approximately 113.0 to 100.5 million years ago.",UNIDADE_CRONO
Albian,"Albian is a chronostratigraphic stage that constitutes the youngest subdivision of the Lower Cretaceous Series, spanning approximately 113.0 to 100.5 million years ago.",UNIDADE_CRONO
dolomites,"Dolomites are a type of carbonate rock that is predominantly composed of the mineral dolomite (CaMg(CO3)2), typically formed through the diagenetic alteration of limestones or direct precipitation.",ROCHA
wackestones,"A wackestone is a carbonate rock that is characterized by a mud-supported texture containing more than 10% grains (allochems), as defined by the Dunham classification scheme.",ROCHA
coquinas,"A coquina is a type of bioclastic sedimentary rock that is predominantly composed of whole or fragmented shells of bivalve mollusks, often with a minor matrix. In the Brazilian Pre-Salt, these rocks are typically lacustrine in origin and constitute significant carbonate reservoirs.",ROCHA
aragonite,"Aragonite is a mineral that is a carbonate polymorph of calcite, having the chemical formula CaCO3 and crystallizing in the orthorhombic system. It is metastable at surface conditions and commonly inverts to calcite over geological time, often forming biogenic shells and early diagenetic cements.",MINERAIS
Berriasian,"The Berriasian is a chronostratigraphic unit that represents the earliest stage of the Early Cretaceous epoch, spanning approximately from 145.0 to 139.8 million years ago.",UNIDADE_CRONO
wedges,"A geological wedge is a geological body or structural geometry that exhibits a tapering or thickening shape in cross-section, often bounded by faults, unconformities, or depositional surfaces, and commonly represents a localized accumulation of rock or a fault-bounded block within a basin.",ESTRUTURA_FISICA
Rito Santo,"The Espírito Santo Basin is a sedimentary basin that is located offshore the Brazilian coast, extending from the state of Espírito Santo, and is part of the Brazilian continental margin formed during the Gondwana breakup. It contains significant pre-salt carbonate reservoirs, similar to those found in the adjacent Campos and Santos basins, making it a key area for oil and gas exploration.",BACIA
Early Aptian,"Early Aptian is a chronostratigraphic unit that represents the early part of the Aptian Stage of the Lower Cretaceous Series. It is characterized by the deposition of significant lacustrine carbonate reservoirs in the Brazilian Pre-Salt, preceding the main evaporitic phase.",UNIDADE_CRONO
rudstone,A rudstone is a carbonate rock that is grain-supported and contains more than 10% of grains larger than 2 mm in diameter.,ROCHA
smectite,"Smectite is a rock that is a fine-grained sedimentary rock predominantly composed of smectite-group clay minerals, characterized by high cation exchange capacity and significant swelling properties.",ROCHA
clay,"Clay is an unconsolidated sediment that is primarily composed of fine-grained mineral particles, typically less than 4 micrometers in diameter. It commonly consists of hydrous aluminum phyllosilicates and other fine-grained minerals, exhibiting plasticity when wet.",NAO_CONSOLID
floatstone,"A floatstone is a carbonate rock that is characterized by having more than 10% of its volume composed of grains larger than 2 mm, which are supported by a finer-grained matrix and do not touch each other.",ROCHA
wackestone,A wackestone is a carbonate rock that contains more than 10% allochems (grains) within a mud-supported matrix.,ROCHA
dolostone,"Dolostone is a carbonate rock that is primarily composed of the mineral dolomite (CaMg(CO3)2), typically containing more than 50% dolomite by weight.",MINERAIS
magma,"Magma is a molten or semi-molten natural material that originates beneath the Earth's surface, comprising liquid rock, dissolved gases, and solid crystals, and is the precursor to all igneous rocks upon cooling and solidification.",ROCHA
volcanic,A volcanic rock is an igneous rock that forms from the rapid cooling of molten rock (lava or magma) at or near the Earth's surface.,ROCHA
shrubstones,"Shrubstones are a type of carbonate rock that is characterized by arborescent (shrub-like) aggregates of carbonate crystals, often formed by microbial activity or abiotic precipitation in lacustrine environments.",ROCHA
Barra Velha,"Barra Velha is a lithostratigraphic unit that constitutes a key reservoir interval within the Brazilian Pre-Salt succession, characterized by lacustrine microbial carbonates, often stromatolitic and spherulitic, interbedded with siliciclastic rocks, and stratigraphically positioned between the underlying Piçarras Formation and the overlying Itapema Formation.",UNIDADE_LITO
Phanerozoic,"The Phanerozoic is a geological eon that spans from approximately 541 million years ago to the present, following the Proterozoic Eon. It is characterized by the abundant and diverse fossil record of complex life forms, including those with hard parts.",UNIDADE_CRONO
Pleistocene,"The Pleistocene is a geological epoch that represents the first and longer of the two epochs of the Quaternary Period, spanning from approximately 2.58 million years ago to 11,700 years ago, and is characterized by significant global climatic fluctuations, including repeated glacial and interglacial cycles.",UNIDADE_CRONO
cherts,"Cherts are a sedimentary rock that is composed predominantly of microcrystalline quartz (SiO2), often formed from the accumulation of siliceous microfossils or by diagenetic replacement of other rocks.",ROCHA
galena,"Galena is a mineral that is a lead sulfide (PbS) with an isometric crystal system. It typically exhibits a metallic luster, lead-gray color, and perfect cubic cleavage. Galena is the principal ore of lead and is commonly found in hydrothermal veins and sedimentary deposits.",MINERAIS
mound-like,"Mound-like is an adjective that describes a physical structure that exhibits a rounded, convex-upward, and elevated morphology, often characteristic of biogenic or depositional buildups such as microbialite structures in Pre-Salt carbonate reservoirs.",ESTRUTURA_FISICA
1-brsa-618-rjs,"1-brsa-618-rjs is a well that is an artificial bore drilled into the Earth's crust, identified as the 618th wildcat well drilled by Petrobras (BRSA) in the Rio de Janeiro State offshore area (RJS), primarily for hydrocarbon exploration or appraisal.",POÇO
Neo Barremian,"Neo Barremian is a chronostratigraphic substage that constitutes the upper division of the Barremian Stage within the Early Cretaceous Epoch, characterized by specific biostratigraphic and chemostratigraphic markers.",UNIDADE_CRONO
grainstone-dominated,"Grainstone-dominated is a descriptive term for a carbonate rock or rock interval that is characterized by the predominance of grainstone texture, where carbonate grains are supported by other grains with little to no mud matrix.",ROCHA
pelites,"Pelites are fine-grained sedimentary rocks that are predominantly composed of clay minerals and/or silt-sized particles, typically forming mudrocks, shales, or siltstones.",ROCHA
Fm. Barra Velha,"Fm. Barra Velha is a lithostratigraphic unit that constitutes the primary lacustrine carbonate reservoir succession within the Brazilian Pre-Salt, deposited during the Barremian-Aptian sag phase. It is characterized by microbialite-dominated carbonates exhibiting diverse pore types, including vuggy, interparticle, and fracture porosity, and overlies the Coqueiros Formation.",UNIDADE_LITO
evaporites,"Evaporites are a type of sedimentary rock that forms from the precipitation of minerals from an aqueous solution, typically seawater or saline lake water, due to the evaporation of the solvent.",ROCHA
anhydrite,"Anhydrite is an evaporitic rock that is primarily composed of the mineral calcium sulfate (CaSO4), typically forming in restricted marine or lacustrine environments, and commonly occurring as interbeds, nodules, or cements within Pre-Salt carbonate successions, where it can act as a seal or impact reservoir quality.",ROCHA
tuffs,Tuffs are volcaniclastic rocks that are formed by the lithification of volcanic ash and other pyroclastic fragments ejected during explosive volcanic eruptions.,ROCHA
fluvio-deltaic,"A fluvio-deltaic paleoenvironment is a depositional environment that is characterized by the interplay of fluvial (riverine) and deltaic processes, typically occurring at the interface between continental and marine or lacustrine settings where river-borne sediments are deposited as deltas.",PALEOAMBIENTE
mud,"Mud is a sedimentary rock that is primarily composed of clay and silt-sized particles, typically formed in low-energy depositional environments.",ROCHA
shrubby,"A shrubby structure is a growth morphology that is characterized by a branching, digitate, or columnar form, resembling a shrub or bush, commonly observed in microbialites within lacustrine carbonate systems like those of the Brazilian Pre-Salt.",ESTRUTURA_FISICA
cyanobacteria,"Cyanobacteria are photosynthetic prokaryotic microorganisms that are commonly preserved as fossils, forming biogenic structures like stromatolites and thrombolites. These fossils provide crucial evidence of early life and carbonate depositional environments, particularly in the Pre-Salt.",FOSSEIS
lamination,"Lamination is a primary sedimentary structure that consists of thin, parallel or sub-parallel layers, typically less than 1 cm thick, formed by variations in sediment composition, grain size, or fabric.",ESTRUTURA_FISICA
Barremian,"Barremian is a chronostratigraphic stage that represents a division of the Early Cretaceous epoch, spanning from approximately 129.4 to 125.0 million years ago. It is preceded by the Hauterivian and succeeded by the Aptian stages.",UNIDADE_CRONO
eo-Oligocene,"Eo-Oligocene is a geological time interval that represents the early part of the Oligocene epoch, spanning from approximately 33.9 to 28.1 million years ago.",UNIDADE_CRONO
tertiary,"Tertiary is a chronostratigraphic unit that informally designates the geological time interval from approximately 66 to 2.58 million years ago, following the Cretaceous Period and preceding the Quaternary Period. This interval is formally subdivided into the Paleogene and Neogene periods, representing the majority of the Cenozoic Era.",UNIDADE_CRONO
Campos Basin,"The Campos Basin is a sedimentary basin that is located offshore southeastern Brazil and is a major petroleum province, characterized by significant Pre-Salt and Post-Salt hydrocarbon accumulations.",BACIA
bacia de pelotas,"A Bacia de Pelotas is a passive margin sedimentary basin that is located offshore southern Brazil and Uruguay, formed during the breakup of Gondwana and the opening of the South Atlantic Ocean. It is characterized by a thick siliciclastic sedimentary infill, primarily Cenozoic in age, with potential for hydrocarbon accumulation.",BACIA
Barremian,"Barremian is a chronostratigraphic stage that represents a division of the Early Cretaceous epoch, spanning the time interval between the end of the Hauterivian and the beginning of the Aptian.",UNIDADE_CRONO
packstone,"A packstone is a type of carbonate rock that is grain-supported, containing more than 10% micrite matrix, where the grains are in contact but the intergranular spaces are filled with micrite.",ROCHA
boundstones,Boundstones are a type of carbonate rock that consists of original components that were bound together *in situ* during deposition by organisms acting as framework builders.,ROCHA
wackestones,A wackestone is a carbonate rock that contains more than 10% allochems (grains) supported by a mud-dominated matrix (micrite).,ROCHA
conglomerates,"A conglomerate is a clastic sedimentary rock that is characterized by being composed of rounded clasts larger than 2 mm in diameter, which are set within a finer-grained matrix and cemented together.",ROCHA
deltas,"Deltas are paleoenvironments that represent depositional systems formed at the mouth of a river where it discharges clastic sediments into a standing body of water, characterized by the progradation of sedimentary facies. They typically comprise delta plain, delta front, and prodelta sub-environments, reflecting varying energy regimes and sediment accumulation rates.",PALEOAMBIENTE
laminations,"A lamination is a primary sedimentary structure that consists of very thin, parallel or sub-parallel layers within a rock, typically less than 1 cm thick, reflecting subtle variations in sediment composition, grain size, or depositional conditions.",ESTRUTURA_FISICA
sandstone,"A sandstone is a clastic sedimentary rock that is primarily composed of sand-sized mineral grains or rock fragments. These grains, typically quartz, feldspar, or lithic fragments, are cemented together by a matrix of finer material or chemical precipitates.",ROCHA
halite,"Halite is a chemical sedimentary rock that is predominantly composed of the mineral sodium chloride (NaCl), forming through the precipitation of salts from evaporating saline waters in arid environments.",ROCHA
mollusc,"A mollusc is an invertebrate animal that belongs to the phylum Mollusca, characterized by a soft, unsegmented body, typically enclosed in a calcareous shell, and often possessing a mantle and a muscular foot. As fossils, molluscs are significant biostratigraphic and paleoenvironmental indicators, commonly preserved in sedimentary rocks, including the carbonate reservoirs of the Brazilian Pre-Salt.",FOSSEIS
co2,"Carbon dioxide (CO2) is a naturally occurring gas that is composed of one carbon atom covalently bonded to two oxygen atoms. It constitutes a significant component of subsurface fluids, often found dissolved in formation waters and hydrocarbons or as a free gas phase within reservoir pore spaces. In the context of Brazilian Pre-Salt carbonate reservoirs, high concentrations of CO2 are common and can profoundly influence fluid phase behavior, reservoir drive mechanisms, and production challenges.",FLUIDODATERRA
wedges,"A geological wedge is a geological body or structural geometry that exhibits a tapering or thickening shape in cross-section, often bounded by faults, unconformities, or depositional surfaces, and commonly represents a localized accumulation of rock or a fault-bounded block within a basin.",ESTRUTURA_FISICA
granites,"Granites are a type of intrusive igneous rock that are felsic, coarse-grained, and primarily composed of quartz, feldspar, and micas, forming from the slow crystallization of magma below the Earth's surface.",ROCHA
gneisses,"Gneiss is a metamorphic rock that is characterized by a coarse-grained texture and a distinct foliation, known as gneissic banding, where felsic and mafic minerals are segregated into alternating layers due to high-grade metamorphism.",ROCHA
Neoaptian,"Neoaptian is a chronostratigraphic unit that represents the younger substage of the Aptian Stage, spanning a specific interval of geological time within the Early Cretaceous, and is particularly significant for the deposition of the thick carbonate successions of the Brazilian Pre-Salt reservoirs.",UNIDADE_CRONO
anhydrite,"Anhydrite is an evaporitic rock that is primarily composed of the mineral calcium sulfate (CaSO4), typically forming in restricted marine or lacustrine environments, and commonly occurring as interbeds, nodules, or cements within Pre-Salt carbonate successions, where it can act as a seal or impact reservoir quality.",ROCHA
faults,Faults are fractures in rock that exhibit relative displacement of the rock masses across the fracture surface.,ESTRUTURA_FISICA
cherts,"Cherts are a sedimentary rock that is composed predominantly of microcrystalline quartz (SiO2), often formed from the accumulation of siliceous microfossils or by diagenetic replacement of other rocks.",ROCHA
gastropods,"Gastropods are a type of fossil mollusk that are characterized by a univalve, typically spirally coiled shell, or are preserved as internal molds or imprints within sedimentary rocks.",FOSSEIS
travertines,"Travertine is a terrestrial carbonate rock that forms by the rapid precipitation of calcium carbonate minerals (calcite and/or aragonite) from supersaturated freshwaters, typically associated with springs, rivers, or lakes.",ROCHA
